MDRC,Allemagne2000,Allemagne2005,Allemagne2010,Allemagne2015,Autriche2000,Autriche2005,Autriche2010,Autriche2015,Belgique2000,Belgique2005,Belgique2010,Belgique2015,Bulgarie2000,Bulgarie2005,Bulgarie2010,Bulgarie2015,Chypre2000,Chypre2005,Chypre2010,Chypre2015,Croatie2000,Croatie2005,Croatie2010,Croatie2015,Danemark2000,Danemark2005,Danemark2010,Danemark2015,Espagne2000,Espagne2005,Espagne2010,Espagne2015,Estonie2000,Estonie2005,Estonie2010,Estonie2015,Finlande2000,Finlande2005,Finlande2010,Finlande2015,France2000,France2005,France2010,France2015,Gr_ce2000,Gr_ce2005,Gr_ce2010,Gr_ce2015,Hongrie2000,Hongrie2005,Hongrie2010,Hongrie2015,Irlande2000,Irlande2005,Irlande2010,Irlande2015,Italie2000,Italie2005,Italie2010,Italie2015,Lettonie2000,Lettonie2005,Lettonie2010,Lettonie2015,Lituanie2000,Lituanie2005,Lituanie2010,Lituanie2015,Luxembourg2000,Luxembourg2005,Luxembourg2010,Luxembourg2015,Malte2000,Malte2005,Malte2010,Malte2015,Pays_Bas2000,Pays_Bas2005,Pays_Bas2010,Pays_Bas2015,Pologne2000,Pologne2005,Pologne2010,Pologne2015,Portugal2000,Portugal2005,Portugal2010,Portugal2015,R_publique_Tch_que2000,R_publique_Tch_que2005,R_publique_Tch_que2010,R_publique_Tch_que2015,Roumanie2000,Roumanie2005,Roumanie2010,Roumanie2015,Royaume_Uni2000,Royaume_Uni2005,Royaume_Uni2010,Royaume_Uni2015,Slov_nie2000,Slov_nie2005,Slov_nie2010,Slov_nie2015,Slovaquie2000,Slovaquie2005,Slovaquie2010,Slovaquie2015,Su_de2000,Su_de2005,Su_de2010,Su_de2015,Z_Pop_EU28notBEL2000,Z_Pop_EU28notBEL2005,Z_Pop_EU28notBEL2010,Z_Pop_EU28notBEL2015,Z_Pop_EU28tot2000,Z_Pop_EU28tot2005,Z_Pop_EU28tot2010,Z_Pop_EU28tot2015,Z_Pop_etranger2000,Z_Pop_etranger2005,Z_Pop_etranger2010,Z_Pop_etranger2015,Z_Pop_total2000,Z_Pop_total2005,Z_Pop_total2010,Z_Pop_total2015
1,29,41,51,41,7,4,9,6,1394,1505,1560,1567,3,2,8,15,1,0,5,4,0,1,2,5,8,13,3,7,91,90,87,112,0,0,0,1,12,12,15,16,165,225,368,459,36,50,42,47,1,2,11,10,10,10,11,7,97,111,157,217,0,0,4,3,0,1,3,7,6,4,7,10,0,1,2,0,29,50,57,47,2,9,34,41,48,34,50,47,2,5,1,3,3,12,21,66,42,71,51,57,0,0,3,5,0,1,1,5,40,26,19,19,632,775,1022,1257,2026,2280,2582,2824,848,1078,1418,1773,2242,2583,2978,3340
2,38,63,82,91,9,20,13,11,4147,5351,5345,5271,2,8,18,20,0,0,5,2,1,5,0,8,7,15,16,19,225,199,181,265,0,3,3,3,10,16,14,13,251,324,466,618,52,67,48,87,6,9,9,12,17,15,15,20,149,149,189,246,1,3,7,8,1,1,13,11,10,6,8,9,0,0,4,6,58,102,139,143,9,61,90,84,47,41,64,91,2,2,9,5,3,44,222,311,53,92,84,75,0,0,3,12,1,2,3,8,18,14,36,18,970,1261,1741,2196,5117,6612,7086,7467,2726,2542,3118,3565,6873,7893,8463,8836
3,32,42,77,82,7,14,18,13,3019,3417,3856,4061,3,2,23,39,0,0,0,2,0,1,2,8,7,13,11,13,125,129,119,143,2,2,2,2,10,16,17,11,223,227,397,531,56,46,58,74,8,5,6,6,8,3,14,12,118,108,126,174,0,0,5,2,0,1,4,11,5,2,9,5,0,1,3,0,49,68,101,98,10,28,64,66,32,19,38,53,2,4,3,5,21,19,95,149,53,64,59,54,1,1,2,2,1,2,1,8,20,20,25,15,793,837,1279,1578,3812,4254,5135,5639,1800,1517,2261,2678,4819,4934,6117,6739
4,6,13,24,17,0,1,4,1,661,777,1068,1231,0,1,3,20,0,0,0,0,0,2,1,2,1,0,2,5,18,25,55,70,0,0,1,2,0,1,4,2,36,47,110,182,5,9,3,14,0,2,3,6,4,3,2,7,42,39,37,58,0,0,2,10,0,0,0,2,1,2,4,2,0,0,0,1,4,8,16,26,8,13,32,29,19,18,17,48,0,0,0,2,2,10,13,51,3,11,22,25,0,0,2,3,0,0,1,3,2,3,3,5,151,208,361,593,812,985,1429,1824,303,315,617,1038,964,1092,1685,2269
5,20,26,28,36,10,8,4,7,1015,1082,1054,1160,1,6,10,19,0,0,3,0,2,0,1,5,8,1,2,5,51,58,61,87,0,6,5,1,11,5,9,7,94,104,210,254,14,5,7,16,3,4,6,8,5,7,2,11,32,39,59,87,0,0,1,3,2,0,1,3,4,2,2,3,0,1,1,1,26,24,24,38,3,9,72,54,17,10,9,20,0,2,2,3,3,16,41,35,36,22,37,36,0,2,4,4,0,2,2,2,14,7,8,8,356,366,611,753,1371,1448,1665,1913,505,552,956,1108,1520,1634,2010,2268
6,4,5,5,5,0,1,1,1,160,170,156,151,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,5,11,8,9,0,0,0,0,0,1,0,0,21,23,31,37,2,2,5,1,0,0,2,2,0,0,1,1,5,3,6,14,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,2,1,3,6,1,1,1,3,9,14,13,14,0,0,0,0,0,2,2,11,3,7,10,4,0,0,0,1,0,0,0,2,3,5,5,3,55,76,96,121,215,246,252,272,85,149,157,181,245,319,313,332
7,45,47,57,46,7,7,8,7,1433,1402,1291,1333,1,3,5,11,1,0,1,2,0,0,0,8,18,19,6,7,64,85,72,84,0,1,2,4,11,14,6,6,168,201,292,377,23,19,33,35,3,2,7,3,13,4,6,7,95,104,124,158,0,0,1,6,0,1,4,8,5,6,6,6,0,0,2,0,40,44,48,55,10,27,56,56,39,31,36,35,0,1,7,6,2,5,26,41,58,66,66,61,0,0,4,4,0,1,5,6,30,38,36,26,633,726,916,1065,2066,2128,2207,2398,924,1022,1205,1434,2357,2424,2496,2767
8,25,44,43,49,3,10,2,6,5342,6863,7565,8473,1,4,9,25,0,0,0,2,1,0,1,2,4,13,4,3,458,351,305,380,0,3,3,0,2,2,3,4,243,292,389,431,28,17,35,43,8,12,10,10,3,7,6,5,153,140,141,190,0,0,0,3,0,2,1,5,9,8,7,14,1,2,0,1,27,34,52,66,21,48,158,163,168,141,172,190,1,1,2,1,2,20,152,283,32,35,28,29,1,1,4,3,1,0,2,4,7,4,8,7,1199,1191,1537,1919,6541,8054,9102,10392,3849,3069,3476,3958,9191,9932,11041,12431
9,16,22,34,33,7,1,8,6,1796,2115,1778,1820,4,2,1,8,0,0,3,1,0,1,2,0,2,7,7,0,127,99,121,139,0,0,1,1,1,2,4,4,117,160,236,263,27,36,32,44,1,5,5,5,8,6,5,3,57,53,76,123,0,1,2,3,1,0,2,4,4,3,6,1,0,0,0,0,25,40,59,47,8,28,47,51,23,30,24,43,0,0,1,1,0,9,60,45,22,38,32,26,0,2,6,4,0,0,1,4,5,13,9,13,455,558,784,872,2251,2673,2562,2692,1147,1225,1398,1541,2943,3340,3176,3361
10,15,33,46,41,2,3,6,4,3858,5650,6338,6399,1,5,21,31,0,0,0,0,3,2,2,5,2,2,0,2,463,346,331,380,0,0,0,1,7,2,5,8,202,217,361,410,32,30,27,30,11,10,9,8,1,3,9,8,146,131,129,213,0,2,1,2,0,1,3,3,6,7,4,5,0,0,0,0,24,45,106,132,12,30,144,106,67,52,59,67,1,0,1,3,4,19,153,239,17,28,27,28,1,0,1,6,0,0,3,7,7,4,11,3,1024,972,1459,1742,4882,6622,7797,8141,4332,3320,3803,4061,8190,8970,10141,10460
