"ID_SS";"ID_SS_bis";"exp_ais";"exp_individu";"exp_public";"exp_société";"exp_total"
1;"21001A041";0;12;0;0;12
2;"21001A472";0;0;0;2;2
3;"21001A83-";0;1;17;0;18
4;"21001A503";0;4;0;0;4
5;"21001A3MJ";0;0;0;0;0
6;"21001A331";0;0;0;0;0
7;"21001A332";0;1;1;0;2
8;"21001A43-";0;5;0;0;5
9;"21001A401";0;1;0;0;1
10;"21001A32-";0;10;0;0;10
11;"21001A53-";0;0;0;0;0
12;"21001A41-";0;7;0;1;8
14;"21001A37-";0;0;0;0;0
16;"21001A85-";0;1;0;1;2
17;"21001B3MJ";0;0;0;1;1
18;"21001A51-";1;6;0;0;7
19;"21001A42-";0;1;0;0;1
20;"21001A52-";0;1;0;0;1
21;"21001C70-";0;0;0;1;1
22;"21001A552";0;2;0;0;2
23;"21001A84-";0;1;0;0;1
24;"21001A34-";0;3;1;0;4
25;"21001A350";0;3;0;0;3
26;"21001A441";0;10;0;0;10
27;"21001C512";0;0;6;0;6
28;"21001C71-";0;0;9;0;9
29;"21001A82-";0;0;8;1;9
30;"21001C611";0;1;0;0;1
31;"21001C581";0;0;0;0;0
32;"21001C522";0;0;0;0;0
33;"21001A451";1;1;0;0;2
34;"21001A30-";0;5;2;1;8
35;"21001A80-";0;3;1;1;5
36;"21001A81-";0;6;0;1;7
37;"21001C79-";0;0;0;0;0
38;"21001A31-";1;3;0;1;5
40;"21001A031";0;7;1;1;9
41;"21001B22-";1;2;0;0;3
42;"21001B321";0;8;3;1;12
43;"21001B20-";0;12;2;5;19
44;"21001B23-";1;8;0;2;11
45;"21001A142";0;3;0;0;3
46;"21001A051";0;1;0;1;2
47;"21001A941";0;7;0;0;7
48;"21001A732";0;0;0;0;0
50;"21001A90-";0;5;1;2;8
51;"21001A783";0;0;0;0;0
52;"21001A132";0;3;0;0;3
53;"21001B31-";0;0;5;0;5
54;"21001B25-";1;11;0;1;13
55;"21001B11-";0;4;0;0;4
56;"21001A72-";0;8;0;5;13
57;"21001A011";0;6;0;0;6
58;"21001B17-";0;1;1;1;3
59;"21001A712";0;3;0;0;3
60;"21001A07-";0;4;0;0;4
61;"21001B21-";0;17;0;1;18
62;"21001A911";0;6;0;1;7
63;"21001A931";0;6;0;1;7
64;"21001A74-";0;4;0;0;4
65;"21001A92-";0;7;2;1;10
66;"21001A00-";0;4;0;2;6
67;"21001A08-";0;0;0;0;0
68;"21001A95-";0;5;0;1;6
69;"21001B10-";1;4;0;0;5
70;"21001B332";0;3;5;0;8
