date_request;price.mainValue;property.netHabitableSurface;property.type;property.roomCount;cd_sector;nb_chambres
2024-04-19T14:36:54Z;529;110;HOUSE;NA;21018A63-;NA
2024-04-19T14:36:54Z;195;75;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;590;250;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;375;88;APARTMENT;NA;21015A52-;NA
2024-04-19T14:36:54Z;210;110;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;149;70;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;490;220;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;440;225;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;299;146;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;149;70;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;255;88;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;249;116;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;469;250;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;329;130;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;395;190;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;179;50;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;295;140;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;800;280;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;275;90;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;800;280;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;229;90;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;430;250;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;329;130;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;250;135;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;299;146;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;159;65;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;395;190;APARTMENT;NA;NA;NA
2024-04-19T14:36:54Z;800;280;HOUSE;NA;NA;NA
2024-04-19T14:36:54Z;249;116;APARTMENT;NA;NA;NA
