date_request;surface;loyer;type;PEB;nb_chambres;x_31370;y_31370;cd_sector
2023-10-23T20:48:48Z;70;1050;APARTMENT;NA;2;151050;169335;21005A031
2023-10-23T20:48:57Z;50;1150;APARTMENT;D;1;NA;NA;NA
2023-10-23T20:49:08Z;50;1150;APARTMENT;D;1;NA;NA;NA
2023-10-23T20:49:18Z;35;750;APARTMENT;B;1;153520;172408;21006A474
2023-10-23T20:49:27Z;40;675;APARTMENT;NA;0;NA;NA;NA
2023-10-23T20:49:39Z;40;800;APARTMENT;F;1;151498;172780;21015A831
2023-10-23T20:49:51Z;85;1130;APARTMENT;D;1;NA;NA;NA
2023-10-23T20:50:02Z;75;950;APARTMENT;C;1;NA;NA;NA
2023-10-23T20:50:11Z;120;1350;APARTMENT;E;2;151184;166660;21009A33-
2023-10-23T20:50:22Z;115;2100;APARTMENT;D;3;148540;171365;21004A25-
2023-10-23T20:50:35Z;42;730;APARTMENT;A;0;154294;167660;21002A00-
2023-10-23T20:50:46Z;190;2490;APARTMENT;NA;3;149937;168826;21009A03-
2023-10-23T20:50:56Z;28;800;APARTMENT;F;1;147253;173876;21010A02-
2023-10-23T20:51:09Z;190;2490;APARTMENT;NA;3;149937;168826;21009A03-
2023-10-23T20:51:22Z;60;900;APARTMENT;E;1;150315;171193;21014A05-
2023-10-24T09:43:48Z;60;940;APARTMENT;C;1;151080;173313;21015A272
2023-10-24T09:43:56Z;70;1250;APARTMENT;D;1;NA;NA;NA
2023-10-24T09:44:06Z;145;2050;APARTMENT;C;3;NA;NA;NA
2023-10-24T09:44:15Z;110;1550;APARTMENT;D;2;149038;166837;21016A82-
2023-10-24T09:44:26Z;40;700;APARTMENT;NA;0;NA;NA;NA
2023-10-24T09:44:34Z;85;1300;APARTMENT;NA;2;NA;NA;NA
2023-10-24T09:44:44Z;35;820;APARTMENT;NA;0;NA;NA;NA
2023-10-24T09:44:56Z;110;2290;APARTMENT;B;3;149606;168336;21009A451
2023-10-24T09:45:08Z;85;1200;APARTMENT;NA;1;NA;NA;NA
2023-10-24T09:45:20Z;NA;1500;APARTMENT;D;2;NA;NA;NA
2023-10-24T09:45:32Z;75;1050;APARTMENT;NA;2;NA;NA;NA
2023-10-24T09:45:44Z;NA;2200;APARTMENT;NA;4;NA;NA;NA
2023-10-24T09:45:55Z;NA;1650;APARTMENT;NA;3;NA;NA;NA
2023-10-24T09:46:04Z;80;780;APARTMENT;NA;1;NA;NA;NA
2023-10-24T09:46:13Z;60;995;APARTMENT;G;2;NA;NA;NA
2023-10-25T13:42:40Z;NA;700;APARTMENT;NA;1;148995;170935;21004A34-
2023-10-25T13:42:47Z;NA;1000;APARTMENT;NA;2;148982;170268;21004A14-
2023-10-25T13:42:54Z;NA;1000;APARTMENT;NA;2;148622;171326;21004A25-
2023-10-25T13:43:01Z;95;1350;APARTMENT;B;3;NA;NA;NA
2023-10-25T13:43:07Z;NA;460;APARTMENT;NA;1;151135;170791;21004B43-
2023-10-25T13:43:13Z;NA;550;APARTMENT;NA;1;154487;171928;21018A3MJ
2023-10-25T13:43:18Z;500;5000;HOUSE;C;3;NA;NA;NA
2023-10-25T13:43:23Z;32;675;APARTMENT;G;0;NA;NA;NA
2023-10-25T13:43:29Z;NA;590;APARTMENT;NA;1;151094;173282;21015A272
2023-10-25T13:43:35Z;90;1000;APARTMENT;NA;3;NA;NA;NA
2023-10-25T13:43:40Z;54;850;APARTMENT;NA;1;NA;NA;NA
2023-10-25T13:43:46Z;210;2750;HOUSE;D;4;NA;NA;NA
2023-10-25T13:43:51Z;40;895;APARTMENT;NA;0;151991;169671;21005A051
2023-10-25T13:43:57Z;150;2050;APARTMENT;D;3;NA;NA;NA
2023-10-25T13:44:03Z;NA;640;APARTMENT;NA;1;145312;170849;21001A72-
2023-10-25T13:44:08Z;NA;660;APARTMENT;NA;1;148543;170751;21004A20-
2023-10-25T13:44:14Z;NA;725;APARTMENT;NA;2;153034;172131;21006A23-
2023-10-25T13:44:21Z;200;2900;APARTMENT;F;3;152630;169218;21005A15-
2023-10-25T13:44:27Z;NA;1000;APARTMENT;NA;2;150929;170810;21004B421
2023-10-25T13:44:32Z;NA;1025;APARTMENT;NA;2;149949;169002;21009A03-
2023-10-25T13:44:39Z;44;750;APARTMENT;F;0;153054;165231;21017A041
2023-10-25T13:44:46Z;100;2200;APARTMENT;NA;2;NA;NA;NA
2023-10-25T13:44:51Z;90;1150;APARTMENT;A;2;NA;NA;NA
2023-10-25T13:44:56Z;38;700;APARTMENT;D;1;152334;170023;21018A72-
2023-10-25T13:45:02Z;235;1900;HOUSE;G;5+;150790;162315;21016A342
2023-10-25T13:45:10Z;63;900;APARTMENT;C;1;NA;NA;NA
2023-10-25T13:45:15Z;62;950;APARTMENT;D;1;NA;NA;NA
2023-10-25T13:45:21Z;400;4800;HOUSE;E;5+;NA;NA;NA
2023-10-25T13:45:28Z;150;2250;APARTMENT;D;3;152903;170533;21018A24-
2023-10-25T13:45:34Z;100;1390;APARTMENT;E;2;151318;169845;21005A01-
2023-10-25T13:45:40Z;150;2250;APARTMENT;E;3;156681;169960;21019A10-
2023-10-25T13:45:47Z;NA;1200;APARTMENT;NA;2;NA;NA;NA
2023-10-25T13:45:54Z;135;1850;APARTMENT;D;3;NA;NA;NA
2023-10-25T13:46:02Z;210;2100;APARTMENT;D;3;NA;NA;NA
2023-10-25T13:46:06Z;160;2300;APARTMENT;NA;3;NA;NA;NA
2023-10-25T13:46:13Z;40;800;APARTMENT;C;0;148950;172502;21004D62-
2023-10-25T13:46:19Z;NA;1500;APARTMENT;B;2;NA;NA;NA
2023-10-25T13:46:25Z;68;890;APARTMENT;NA;1;NA;NA;NA
2023-10-25T13:46:32Z;NA;6500;HOUSE;G;4;NA;NA;NA
2023-10-25T13:46:39Z;NA;3800;HOUSE;G;3;NA;NA;NA
2023-10-25T13:46:47Z;NA;3200;HOUSE;G;1;NA;NA;NA
2023-10-25T13:46:53Z;180;1950;APARTMENT;D;3;NA;NA;NA
2023-10-25T13:46:58Z;NA;600;APARTMENT;NA;1;NA;NA;NA
2023-10-25T13:47:05Z;100;1400;APARTMENT;NA;2;154454;171685;21018A3MJ
2023-10-25T13:47:12Z;71;925;APARTMENT;D;1;152257;171855;21015A70-
2023-10-25T13:47:18Z;65;1000;APARTMENT;NA;1;152433;172857;21006A171
2023-10-25T13:47:24Z;85;1250;APARTMENT;B;2;150691;170069;21004B2WJ
2023-10-25T13:47:31Z;62;1100;APARTMENT;NA;1;152433;172857;21006A171
2023-10-25T13:47:42Z;NA;950;APARTMENT;NA;1;NA;NA;NA
2023-10-25T13:47:50Z;150;2050;HOUSE;D;3;NA;NA;NA
2023-10-25T13:47:55Z;150;2200;APARTMENT;F;2;150880;170684;21004B421
2023-10-25T13:48:00Z;96;1400;APARTMENT;D;2;149487;169912;21004A13-
