sscod;BELGIQUE;ALLEMAGNE;DANEMARK;ESPAGNE;FINLANDE;FRANCE;ROYAUME_UNI;GRECE;IRLANDE;PORTUGAL;SLOVENIE;ROUMANIE;TURQUIE;INDE;JAPON;ISRAEL;CONGO_/REP.DEM/;ALGERIE;MAROC;TUNISIE;TOTAL_AFRIQUE;TOTAL_(AVEC_REFUGIES)
21001A00-;1855;1;1;82;0;46;3;9;0;32;0;16;35;0;0;0;27;6;199;1;295;2607
21001A011;1622;;0;67;0;26;1;16;0;39;0;21;24;0;0;0;22;2;190;8;255;2302
21001A02-;432;1;0;2;0;20;1;17;0;4;0;21;13;1;0;0;19;4;78;6;114;706
21001A031;1237;3;0;27;0;42;0;19;0;24;0;11;11;0;0;0;11;13;96;3;143;1649
21001A041;1778;2;0;56;0;69;3;8;0;39;0;43;15;0;0;0;7;3;64;1;93;2292
21001A051;957;2;0;17;0;27;2;24;0;21;0;7;9;1;1;0;12;3;34;1;64;1231
21001A07-;186;1;0;2;0;4;0;0;0;10;0;5;3;5;0;0;1;5;58;0;73;330
21001A08-;;;;;;;;;;;;;;;;;;;;;;8
21001A10-;661;;0;22;0;10;2;5;0;7;0;4;5;0;0;0;8;0;15;1;31;820
21001A112;1693;1;1;35;0;53;0;24;0;115;0;39;10;4;0;0;13;14;212;4;265;2449
21001A120;1974;4;1;79;0;75;3;27;0;31;0;13;33;1;0;0;19;9;194;5;254;2711
21001A132;639;;0;26;0;24;0;10;0;20;0;4;2;0;0;0;2;0;56;6;76;901
21001A142;791;3;0;23;0;37;2;5;0;18;0;7;3;2;0;0;0;0;35;1;49;1051
21001A152;939;2;0;34;0;21;6;5;1;11;0;13;5;0;0;0;7;3;44;2;64;1199
21001A3MJ;;;;;;;;;;;;;;;;;;;;;;8
21001A30-;1749;;0;65;0;29;2;16;1;54;1;15;22;0;0;0;16;4;77;1;141;2318
21001A31-;962;;0;57;0;22;3;13;1;30;0;1;7;3;0;0;9;1;38;1;53;1253
21001A32-;2359;2;0;88;1;47;4;20;0;36;0;0;5;0;0;0;24;3;34;3;79;2837
21001A332;836;;0;24;0;16;1;15;0;9;0;2;7;0;0;0;13;2;39;0;80;1070
21001A34-;1775;5;0;45;0;36;2;4;0;29;0;5;4;0;0;0;4;2;35;5;61;2061
21001A350;866;;0;18;0;31;1;6;0;48;0;2;4;0;0;0;6;2;29;2;67;1117
21001A37-;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;25
21001A401;454;1;0;2;1;6;1;10;0;7;3;3;3;0;0;0;2;0;1;0;4;509
21001A41-;1968;;0;41;0;37;0;7;0;5;0;8;3;0;1;0;12;1;13;1;31;2173
21001A42-;454;1;0;13;0;5;0;17;0;0;0;5;0;0;0;0;3;3;2;0;13;547
21001A43-;995;2;1;28;0;28;2;7;0;14;0;3;3;0;0;0;3;2;20;3;38;1189
21001A441;1569;2;0;45;0;37;2;12;1;32;0;3;10;0;0;0;10;3;48;1;80;1916
21001A451;1133;1;0;42;0;15;7;3;0;30;0;4;4;1;0;0;11;2;19;0;55;1374
21001A472;167;;0;6;0;5;0;0;0;0;0;3;1;0;0;0;2;1;6;0;13;227
21001A492;97;;0;0;0;6;0;1;0;0;0;0;0;0;0;0;7;0;1;0;8;121
21001A503;1294;3;0;21;0;40;0;10;0;14;0;2;0;0;0;0;16;2;7;1;32;1469
21001A51-;1318;1;0;13;0;18;2;1;1;2;0;0;2;0;0;0;4;0;4;0;11;1426
21001A52-;445;2;0;9;0;4;1;3;0;1;0;6;0;0;0;0;3;1;2;0;8;494
21001A53-;291;3;0;13;0;7;4;2;0;5;0;0;0;0;1;0;0;0;1;0;2;345
21001A552;610;;0;20;0;12;2;21;0;17;0;2;1;0;0;0;2;0;16;1;21;753
21001A712;554;1;0;24;0;11;0;16;0;10;0;1;17;0;0;0;9;2;43;2;61;759
21001A72-;2036;5;0;42;1;43;4;23;0;37;0;7;5;0;0;0;15;12;196;4;245;2686
21001A732;216;2;0;3;0;6;1;3;0;2;0;0;3;0;0;0;0;0;4;0;4;245
21001A74-;1841;5;0;68;1;36;0;11;0;42;0;12;13;0;0;0;10;6;98;1;125;2315
21001A783;;;;;;;;;;;;;;;;;;;;;;6
21001A80-;2250;2;0;43;0;41;4;36;0;15;0;5;8;0;0;0;3;2;28;2;44;2557
21001A81-;1122;;0;24;0;22;1;14;0;13;0;0;1;0;0;1;11;0;6;0;17;1253
21001A82-;1394;1;0;27;0;32;3;5;1;4;0;0;0;0;0;0;11;4;24;0;43;1551
21001A83-;2505;;0;84;0;39;3;13;0;11;0;5;0;0;0;0;21;7;241;2;301;3035
21001A84-;631;;0;16;0;16;0;14;1;9;0;10;2;0;0;0;1;0;16;3;24;780
21001A85-;376;1;0;6;0;7;1;4;0;0;0;2;3;0;0;0;0;0;14;0;17;471
21001A90-;1412;;0;58;0;29;2;47;0;13;0;5;3;2;0;0;2;2;72;1;86;1768
21001A911;1550;3;0;43;0;34;1;8;0;14;0;5;20;6;0;0;7;5;137;8;179;1992
21001A92-;2313;;0;88;1;48;2;39;1;33;0;14;9;0;0;0;6;4;84;1;108;2863
