LOY;LOYm2;Q11;INSSEC;annee_enquete;Q12;etat_2000_dbl_vitr;Q33;deuxieme_salle_bain;nbre_garage;convecteur;abs_regul_thermique;abs_espace_recreatif;abs_eau_chaude;rangement;etat_a_installation_elec;etat_b_installation_gaz;etat_c_evacuation_gaz;etat_d_chauffe_eau;etat_e_plomberie;etat_f_chassis;etat_g_isolation_thermique;etat_h_isolation_sonore;etat_i_chauffage;etat_j_escalier;etat_k_revetements_sol;etat_l_peintures_interieures;etat_m_cuisine;etat_n_sanitaires;etat_o_espaces_communs;REV;Q67a;Q67b;Q67c;Q67d;Q67e;Q14;m2;type_logement;type_logement2
574.3226755225905;28.716133776129528;20;21018A87-;2017;Studio;NA;2;NA;NA;NA;NA;0;0;0;1;NA;2;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;Refus de répondre;0;0;1;0;0;0;20;Studio;Studio_Appartement0
607.7378130075413;NA;NA;21018A512;2017;Maison4;2;1;1;1;0;0;0;0;0;4;4;4;4;3;1;1;4;4;4;4;1;2;3;NA;De 2501 € à 3000 €;2;1;0;2;0;4;NA;Maison4;Maison4
783.1672848035325;8.701858720039251;90;21013A422;2017;Appartement2;2;3;0;0;0;0;0;0;1;4;4;4;4;3;3;3;3;4;4;4;3;4;4;NA;De 1501 € à 2000 €;1;2;0;2;0;2;90;Appartement2;Appartement2
783.1672848035325;10.4422304640471;75;21009A22-;2017;Appartement1;2;2;0;NA;0;0;0;0;1;4;4;4;4;2;3;3;3;4;4;2;4;4;4;NA;De 2501 € à 3000 €;NA;NA;NA;2;NA;1;75;Appartement1;Appartement1
626.533827842826;11.391524142596836;55;21016A322;2017;Appartement1;2;4;0;0;0;0;0;0;0;5;4;4;4;3;5;5;2;4;4;3;3;4;4;NA;De 1001 € à 1500 €;1;0;0;1;0;1;55;Appartement1;Appartement1
866.7051285159093;10.833814106448866;80;21010A13-;2017;Appartement3;2;4;0;0;0;0;0;0;0;3;3;3;3;2;3;3;3;3;3;3;3;3;2;NA;De 2001 € à 2500 €;0;1;1;3;0;3;80;Appartement3;Appartement3
449.0159099540253;11.816208156684876;38;21004F522;2017;Studio;2;3;0;0;0;0;0;0;1;3;NA;4;3;3;NA;5;5;2;4;1;2;2;2;NA;De 1001 € à 1500 €;0;0;0;1;0;0;38;Studio;Studio_Appartement0
490.7848318102137;3.271898878734758;150;21011A00-;2017;Appartement3;1;2;1;0;0;0;0;0;1;1;3;3;4;1;1;2;1;3;3;3;4;4;3;1;De 1001 € à 1500 €;1;0;1;2;0;3;150;Appartement3;Appartement3
887.5895894440034;8.875895894440035;100;21004A23-;2017;Maison3;2;5;0;1;0;0;0;0;1;5;5;4;4;5;3;3;4;5;3;5;5;3;5;5;Refus de répondre;0;0;0;1;0;3;100;Maison3;Maison3
804.0517457316266;10.050646821645334;80;21004E222;2017;Appartement2;2;4;0;1;0;0;0;0;1;4;NA;NA;NA;3;4;4;3;4;4;4;3;3;4;4;Refus de répondre;0;0;0;0;2;2;80;Appartement2;Appartement2
