id,name,value
21012A50-,BENES,23595.48
21001A41-,ROMAIN ROLLAND,23110.52
21001A42-,KAT,25343.75
21001A43-,VAN BEETHOVEN,21107.71
21001A441,DOCTEUR ROUX,19683.28
21001A451,VENIZELOS,20612.93
21001A472,STADE COMMUNAL - INDUSTRIE,24940.05
21001A503,VIVES,22703.49
21001A401,ARBORETUM,23987.94
21001A81-,BROECK,22233.75
21001B321,ALBERT I- QUARTIER,15885.68
21001B31-,ALBERT I- IMMEUBLES,15572.75
21001A84-,POESIE,23062.61
21001A85-,AUBADE,20193.14
21001A90-,SCHEUTKAPEL,17571.22
21001A911,SCHEUT-EST,20090.9
21001A92-,JAKOB SMITS,22005.36
21001A931,AGRAFE-NORBERT GILLE,19253.6
21001A941,CROCUS,22576.07
21001A95-,BUFFON,23338.13
21001B10-,ROSEE-EST,15572.75
21001B11-,ROSEE-OUEST,15217.88
21001B17-,ABATTOIR,17200.75
21001B20-,CONSEIL-NORD,15819.46
21001B21-,BROGNIEZ-NORD,16206.63
21001B22-,BROGNIEZ-SUD,16619.34
21001B23-,CONSEIL-SUD,16421.48
21001B241,REVISION-SUD,17245.24
21001B25-,REVISION-NORD,16787.1
21001A51-,SCHERDEMAEL,26132.82
21001A83-,PETERBOS,15744.27
21001A52-,SCHERDEMAEL-NORD,29249.91
21001A552,TREFLE,21605.84
21004F953,RUE DU WIMPELBERG,21464.54
21004F970,MARLY-NORD,24378.91
21004F994,TRASSERSWEG - NEDER-HEEMBEEK,23933.2
21004F9MJ,NEDER-HEEMBEEK-NORD,25819.72
21004G30-,SAINTE-ELISABETH,22840.25
21004G310,HAREN-SUD-OUEST,22847.43
21004F91-,CROIX DE GUERRE (AVENUE DES),22791.9
21004F94-,VAL MARIA,15942.95
21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,17125.88
21004E70-,MARIE-CHRISTINE (RUE),17376.38
21004C552,LOUISE (AVENUE)-SUD,25422.22
21004C61-,U.L.B.,19752.43
21004C63-,NATIONS (SQUARE DES),25360.3
21004C642,AVENUE FRANKLIN ROOSEVELT,24799.56
21004C65-,VIVIER D'OIE,32703.84
"21004D600",PARVIS SAINT-ROCH,15418.82
21004E72-,MAISON ROUGE (PLACE)-SUD,18402.88
21004F930,COIN DES CERISES,15572.75
21004F922,RUE CHATEAU BEYAERD,23116.9
21004F901,PLACE PETER BENOIT,24992.56
21001A712,SCHEUT - DE SMET,17893.48
21001A72-,OSSEGEM,19215
21001A74-,SCHEUT-OUEST,19609.83
21001B332,GOUJONS,15572.75
21019A51-,COLLEGE SAINT-MICHEL,27148.88
21001B372,DEUX GARES,16814.36
21001C512,CHANTS D'OISEAUX,19754.66
"21004E800",DIVIN JESUS,20144.88
21004E81-,DISQUE (RUE DU),19629.06
21004E82-,CITE MODELE,16972.98
21004E83-,STIENON (AVENUE),22215.99
21004E8MJ,HEYSEL,17003.88
21004F511,AVENUE DES PAGODES,25978.2
21004F522,AVENUE DE VERSAILLES,26964.62
21004F531,RUE DES FAINES,24198.87
21004F572,MARLY-SUD,22062.8
21004E74-,EM. DELVA (RUE),17917.84
21001A53-,NELLIE MELBA,24394.41
"21004D610",ANVERS (CHAUSSEE D')-SUD,17988.24
21001A82-,MOORTEBEEK,18822.84
21001A142,VEEWEYDE-NORD,20427.11
21016A701,MERLO,19669.17
21016A71-,KEIENBEMPT,24390.61
21016A72-,MELKRIEK,17250.49
21016A731,ROETAERT,28730.49
21016A772,ZWARTEBEEK,20070.07
21016A80-,VANDERKINDERE,24658.22
21016A81-,BASCULE,21222.76
21016A65-,ALSEMBERG-SUD,22561.34
21016A82-,CHURCHILL,24663.86
21016A841,ZEECRABBE,32344.99
21016A85-,BRUGMANN,25313.1
21016A901,CENTRE-OUEST,25377.66
21016A912,GLOBE-OUEST,25614.32
21016A922,WOLVENBERG,24383.78
21016A933,VOSSEGAT-OUEST,24599.92
21016A943,SEPT-BONNIERS,21174.57
21016A831,LONGCHAMP,26295.26
21016A64-,MOLENSTEEN,26698.91
21016A639,HOMBORCH,16862.84
21016A620,KRIEKENPUT,27730.02
21015A12-,HUART HAMOIR (AVENUE),23136.32
21015A13-,PORTAELS (RUE),17322.98
21015A142,SAINTE-FAMILLE,17608.96
21015A152,PR. ELISABETH-NORD,18012.7
21015A20-,HELMET,19350.74
21015A21-,GUIDO GEZELLE (RUE),17702.65
21015A22-,MARBOTIN A. (RUE),17584.8
21015A231,J. BLOCKX (RUE),22683.55
21015A24-,WAELHEM (RUE),19490.88
21015A272,HOPITAL P. BRIEN,21122.16
21015A30-,GRANDE RUE AU BOIS,19607.85
21015A31-,PATRIE,19646.33
21015A32-,CONSOLATION (RUE DE LA),21099.02
21015A34-,PAQUERETTES (RUE),20515.72
21007A03-,FOYER FORESTOIS - FAMILLE,17076.58
21015A822,CH. GILISQUET - SUD (AVENUE),20884.81
21015A883,THEUNIS PIERRE (RUE),18196.04
21016A954,VOSSEGAT-EST,23748.32
21001A152,LINDE-OUEST,20736.45
21016A610,ENGELAND,31749.97
21016A601,BOURDON,24534.57
21016A490,KAUWBERG,27820.86
21016A533,MOENSBERG,25073.48
21007A02-,STUART MERRIL,25868.58
21007A01-,CURE D'ARS,20682.55
21007A00-,CENTRE SAINT-DENIS,18117.9
21001A00-,RESISTANCE,17134.42
21001A011,KLEINMOLEN,16526.6
21016A44-,PECHERIE,27401.66
21001A02-,WAYEZ,15382.52
21001A041,VEEWEYDE-SUD,20632.41
21001A051,LINDE-EST,18296.31
21001A07-,BIRMINGHAM,16566.07
21001A10-,PORSELEIN,19563.22
21001A112,BIESTEBROEK,16462.6
21001A120,MINIMES,18220.1
21001A132,RAUTER-NORD,17614.73
21001A031,RAUTER-SUD,16858.23
21016A429,CARLOO,27206.94
21016A410,ALPHONSE XIII,25258.19
21016A400,SAINT-JOB,22725.55
21016A521,VERREWINKEL,28411.06
21016A00-,GLOBE-EST,23450.22
21016A01-,DIEWEG,26574.09
21016A02-,ALSEMBERG-NORD,18656.37
21016A03-,COGHEN,24885.3
21016A042,ECHEVINAGE,26712.56
21016A05-,LE CHAT,21833.1
21016A102,GROESELENBERG,27338.22
21016A111,VERT CHASSEUR,30838.93
21016A12-,HAMOIR,27761.7
21016A214,ASTRONOMES,19860.02
21016A225,PTOLEMEE,27042.18
21016A232,BEAU SEJOUR,23092.49
21016A311,FORT JACO,32995.22
21016A322,CHAUSSEE DE WATERLOO-EST,22600.12
21016A331,CHAUSSEE DE WATERLOO-OUEST,24593.21
21016A342,FOND,30871.23
21015A831,LATINIS (AVENUE G.),24786.65
21004D62-,ANVERS (CHAUSSEE D')-NORD,15744.27
"21004D631",ALLEE VERTE - BASSIN VERGOTE,33951.44
21004D64-,MASUI (PLACE)-NORD,17267.4
21002A10-,TRANSVAAL,19596.43
21002A11-,SACRE-COEUR,26005.28
21002A12-,AVENUE SCHALLER,29598.34
21002A130,PARC DES PRINCES,36191.76
21002A14-,TEN REUKEN,27123.4
21002A15-,SOUVERAIN (BLV DU)- BUILDINGS,24455.8
21002A20-,SAINT-JULIEN,24066.98
21002A072,CENTRE COMMERCIAL,27647.19
21002A22-,CANARIS (AVENUE DES),30014.4
21003A283,ZAVELENBERG,24680.57
21003A312,POTAARDE  VLAK,26375.98
21004A34-,MONNAIE,18377.24
21004A35-,AD. MAX (BOULEVARD),21210.96
21004A3MJ,CITE ADMINISTRATIVE ET CONGRES,34200.57
21004A70-,BLAES (RUE)-SUD,15676.52
21004A71-,BLAES (RUE)-CENTRE,16194.64
21001B3MJ,PETITE ILE - RIVE DROITE,20559.61
21002A041,VIGNETTE,25178.02
21002A030,LAMMERENDRIES,23635.29
21002A02-,CENTRE-SUD,24822.33
